feature,importance
referredby_8a858f045bb63525015bc84a44753992,0.0
referredby_8a858f055b15b8d3015b164758eb3a24,0.0
referredby_8a858f065b1fe50a015b236489d57fb6,0.0
referredby_8a858f065cf41809015cf44c98422994,0.0
referredby_8a858f085a477386015a4a4e163019b5,0.0
referredby_8a858f085b905684015b9078144f1fcc,0.0
referredby_8a858f085cf4e173015cf88e44cb69e4,0.0
referredby_8a858f095c3b2c30015c3ee471d433d2,0.0
referredby_8a858f1b5a601b5a015a609f5b984127,0.0
referredby_8a858f0f5bfd79d2015c0c2370d436a1,0.0
referredby_8a858f115b80b9dd015b81383fba4090,0.0
referredby_8a858f155554552501555588ca2b3b40,0.0
referredby_8a858f155b24e303015b24f3a07610b5,0.0
referredby_8a858f165b147438015b149b3acc1b44,0.0
referredby_8a858f165bf7b5ca015bf7b8e30e0199,0.0
referredby_8a858f185c884965015c88980e642dc1,0.0
referredby_8a858f1955b1c4df0155cbc73590682a,0.0
referredby_8a858f0f5bfd79d2015c02f301117179,0.0
referredby_8a858f2c585375f00158688cf76b3db7,0.0
referredby_8a858f2c59cb2d550159cbf3d0437cb5,0.0
referredby_8a858f2e5c699f3a015c6d9e1364767d,0.0
referredby_8a858f2f54e28d53015501644a7f4cbf,0.0
referredby_8a858f30551130db01552563f6780605,0.0
referredby_8a858f305c8dd672015c997141130c2e,0.0
referredby_8a858f305cb1ec4e015cc41c66eb41b8,0.0
referredby_8a858f255ca276c5015ca63c859537ef,0.0
referredby_8a858f315ccb979d015ccca093973142,0.0
referredby_8a858f3355ae6a610155c583cc8e034d,0.0
referredby_8a858f335b61adff015b61b479ea0494,0.0
referredby_8a858f335c8d9723015c9904394f186f,0.0
referredby_8a858f335c8d9723015c9afe6a2552cc,0.0
referredby_8a858f335c8d9723015c9c1a07d8681a,0.0
referredby_8a858f365b2547f3015b2bfd85c85ec1,0.0
referredby_8a858f365b2547f3015b307651737158,0.0
referredby_8a858f3159f585d30159f87d1a2877db,0.0
referredby_8a858f255cb1710a015cb52df5760337,0.0
referredby_8a858f255cb1710a015cb851bf7c77fe,0.0
referredby_8a858f265c2187bd015c254c6c395bef,0.0
referredby_8a858f265c2187bd015c2686b0ad1782,0.0
referredby_8a858f275c451af5015c52e90bb11bfe,0.0
referredby_8a858f275c451af5015c5426a1de3649,0.0
referredby_8a858f275c451af5015c54543f824e92,0.0
referredby_8a858f285c7d70a4015c7d86438a0fa5,0.0
referredby_8a858f2c585375f00158678b108144f8,0.0
referredby_8a858f295c8d307f015c93a9ccda7eb7,0.0
referredby_8a858f295c8d307f015c95b5b13724f7,0.0
referredby_8a858f295c8d307f015c9b4d5c570061,0.0
referredby_8a858f295ca6f581015ca77afccb5d6d,0.0
referredby_8a858f2a5b3f2121015b415a99f4168b,0.0
referredby_8a858f2a5b3f2121015b4245ef6367ea,0.0
referredby_8a858f2b5b870cfe015b88b66b6673de,0.0
referredby_8a858f2b5bf35819015bf3cc59193622,0.0
referredby_8a858f285c7d70a4015c7dd9108348aa,0.0
referredby_8a858fcb5c87dd04015c882423cd3abd,0.0
referredby_8a858fcb5ca240f7015ca6166a3375c4,0.0
referredby_8a858fcb5ca240f7015ca67284a42f30,0.0
referredby_8a858fce5bf8129c015bf9ff58e90318,0.0
referredby_8a858fce5bf8129c015bfbcdde9467f6,0.0
referredby_8a858fd05adc4bcf015adc5f993b138c,0.0
referredby_8a858fd05bfd7d3c015c0be492e56e29,0.0
referredby_8a858f045bc9690c015bc9a82a3c19aa,0.0
referredby_8a858fd45a4260bc015a437a12c853c0,0.0
referredby_8a858fd45bf83e54015bf83efa9d004f,0.0
referredby_8a858fd55c45ba15015c4fed6f06015e,0.0
referredby_8a858fd55c45ba15015c4ff456a202e9,0.0
referredby_8a858fd75bb62bbe015bba3ca3b06158,0.0
referredby_8a858fd75bb62bbe015bc4d0514c622f,0.0
referredby_8a858fd75bb62bbe015bc52a13c36f6c,0.0
referredby_8a858fd85b685607015b72cd5bb64a25,0.0
referredby_8a858fd35b5dfefb015b5f002aa050a3,0.0
referredby_8a858fba5cd5feee015cdf5025e10f56,0.0
referredby_8a858fba5cd5feee015ce05bf405384e,0.0
referredby_8a858fbf5b3a0b46015b3a75f2633e33,0.0
referredby_8a858fbf5b3a0b46015b3ac9ef325d05,0.0
referredby_8a858fbf5c1ba55b015c1bbf2fcf1184,0.0
referredby_8a858fc259da7a360159da9011bd0e86,0.0
referredby_8a858fc45c63d75d015c64d986e30084,0.0
referredby_8a858fc55b00e79e015b055959ee5e97,0.0
referredby_8a858fca5c830943015c870395876947,0.0
referredby_8a858fc55b2548dd015b28bb609670b2,0.0
referredby_8a858fc55b2548dd015b2fd12423240e,0.0
referredby_8a858fc55b2fde30015b300d85e20ef2,0.0
referredby_8a858fc65c7e0e55015c7f71c0ec64e0,0.0
referredby_8a858fc75b90e6b5015b9c1cebad3e18,0.0
referredby_8a858fc959bb192f0159bb468bac1d4e,0.0
referredby_8a858fc959bb192f0159bc06dde5085c,0.0
referredby_8a858fca5c35df2c015c39f8efd26149,0.0
referredby_8a858fc55b2548dd015b286e452c678c,0.0
referredby_8a858fee5800e000015805aae2fe4ef8,0.0
referredby_8a858fee58d73f5f0158e3e9c6176212,0.0
referredby_8a858fef570f30e501571f8c9b393e0c,0.0
referredby_8a858ff05b1ac77f015b1ac8027f0073,0.0
referredby_8a858ff15b5d3f84015b5d509bd61cae,0.0
referredby_8a858ff259d1429e0159d2d0194c4b8e,0.0
referredby_8a858ff25c8250c1015c82907bc62b42,0.0
referredby_8a858fd85b685607015b7ba5638674c0,0.0
